s_size,prop_e,prop_n,category,mae,mape,se_mae,se_mape,cover,mean_width,se_width,prop20,K,rmse,rmse_mcse,category_f,criteria,K_median,K_oneyear,K_timehorizon,K_rmstsample99,K_rmstpop99,criteria_f
30,0.1,0.63864,median,140.5747442,0.512662003,2.511795091,0.009160265,0.958,925.7634579,7.064775058,0.7268,5000,190.0458526,3.021776917,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.63864,oneyear,0.150652346,0.379277368,0.00251596,0.006334097,0.9574,0.615832099,0.001224727,0.7048,5000,0.180095036,0.001861585,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.63864,timehorizon,935.3775466,0.515785799,16.68800536,0.009202098,0.9556,6144.797333,46.87549376,0.727,5000,1262.637314,20.07625127,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.63864,rmstsample99,200.7924818,0.512807491,3.587516779,0.009162223,0.932,1004.188608,7.572418202,0.7278,5000,271.4662353,4.316194587,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.63864,rmstpop99,171.1325098,0.437058361,2.886028606,0.00737068,0.9576,802.9089535,2.897941851,0.7132,5000,215.2471106,2.598732483,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.857806667,median,93.40101958,0.340624158,1.678037208,0.006119634,0.9506,536.5450064,2.98538165,0.622,5000,122.9166357,1.833974811,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.857806667,oneyear,0.111795,0.281451397,0.001931888,0.004863657,0.9482,0.495109596,6.82E-04,0.5896,5000,0.137094762,0.001547554,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.857806667,timehorizon,621.5673142,0.34274459,11.14863789,0.006147581,0.9504,3568.639315,19.89900482,0.623,5000,816.6404507,12.1846649,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.857806667,rmstsample99,133.411739,0.340722613,2.396686999,0.006120942,0.9268,653.5282935,3.633844764,0.6222,5000,175.5798033,2.619753828,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.857806667,rmstpop99,120.0592427,0.306621435,2.088510904,0.005333885,0.9496,586.5081633,1.86630464,0.6028,5000,151.5621687,1.900266768,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.969406667,median,74.41624554,0.271388589,1.336566913,0.004874326,0.9488,409.4938581,1.885052811,0.5364,5000,96.64643825,1.37202629,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.969406667,oneyear,0.092591838,0.233106152,0.001617648,0.004072537,0.9498,0.426243232,4.36E-04,0.5002,5000,0.1145461,0.001340584,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.969406667,timehorizon,495.143599,0.273032037,8.879958361,0.004896586,0.9488,2719.018767,12.5788014,0.5392,5000,642.105037,9.115545361,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.969406667,rmstsample99,106.2933502,0.271464478,1.908975873,0.004875367,0.934,517.31242,2.365960864,0.5364,5000,138.0545882,1.959978894,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.969406667,rmstpop99,97.50076944,0.249008949,1.713023312,0.004374921,0.9508,482.8107495,1.36443331,0.5142,5000,123.0601371,1.550577746,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,0.996373333,median,64.01630512,0.233461049,1.150567087,0.004196003,0.9454,339.8409882,1.383466843,0.48,5000,82.3362029,1.138304161,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,0.996373333,oneyear,0.081924884,0.20625138,0.001444272,0.003636051,0.9448,0.378382689,3.31E-04,0.4406,5000,0.102121916,0.00123284,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,0.996373333,timehorizon,425.8338833,0.23481328,7.644202264,0.004215165,0.944,2257.202537,9.178720548,0.4798,5000,547.0298913,7.562729145,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
