s_size,prop_e,prop_n,category,mae,mape,se_mae,se_mape,cover,mean_width,se_width,prop20,K,rmse,rmse_mcse,category_f,criteria,K_median,K_oneyear,K_timehorizon,K_rmstsample99,K_rmstpop99,criteria_f
30,0.1,0.947446667,median,471.2636775,0.50684606,8.418598268,0.009054238,0.9644,3209.47725,23.61618797,0.7262,5000,643.4992161,10.28407718,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.947446667,oneyear,0.08810137,0.115673971,0.00166402,0.0021848,0.9634,0.444586366,0.001743039,0.1176,5000,0.117652717,0.002178028,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.947446667,timehorizon,3138.935343,0.511060785,55.93195621,0.009106473,0.9634,21339.14866,156.3757072,0.7266,5000,4275.31625,68.32592986,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.947446667,rmstsample99,673.1696913,0.507042505,12.02401527,0.009056686,0.9378,3477.097799,25.3013382,0.7258,5000,919.2259039,14.6895636,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.947446667,rmstpop99,571.2118704,0.430246194,9.593524168,0.007226,0.9628,2776.444942,9.280243634,0.7144,5000,723.7069799,8.896160427,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.99828,median,308.1683888,0.331436394,5.509481032,0.00592547,0.9604,1830.8439,9.82530519,0.6048,5000,404.7166052,5.924983883,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.99828,oneyear,0.06454084,0.084739832,0.001207761,0.001585748,0.9614,0.329048774,0.001115473,0.0632,5000,0.085445021,0.001513183,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.99828,timehorizon,2052.534414,0.334180139,36.60419966,0.005959655,0.9598,12188.05257,65.59094875,0.6056,5000,2688.878923,39.36474084,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.99828,rmstsample99,440.1973083,0.331563867,7.869015954,0.005927072,0.9432,2228.470816,11.90493217,0.6048,5000,578.1413217,8.463900659,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.99828,rmstpop99,396.6388334,0.298754906,6.883538442,0.005184795,0.9612,2005.99054,6.088236824,0.5852,5000,500.9462511,6.239502196,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.999993333,median,251.1132356,0.270073337,4.522204768,0.00486365,0.9506,1387.406612,6.366995688,0.5364,5000,326.3888214,4.626228286,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.999993333,oneyear,0.05449607,0.071551405,0.00100797,0.001323428,0.9526,0.272241489,8.27E-04,0.0372,5000,0.071419539,0.00115041,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.999993333,timehorizon,1671.877235,0.272204043,30.04487814,0.004891709,0.951,9215.812745,42.12999308,0.5376,5000,2168.480391,30.73599543,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.999993333,rmstsample99,358.6897365,0.27017102,6.458920769,0.004864966,0.9322,1751.84555,8.032205787,0.536,5000,466.2429969,6.609065752,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.999993333,rmstpop99,329.1351657,0.247910031,5.797146946,0.004366507,0.9522,1635.848603,4.621701469,0.5166,5000,415.770277,5.244543287,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,1,median,217.1720569,0.233569457,3.865832506,0.004157719,0.951,1154.296127,4.646655946,0.483,5000,276.8229287,3.71378749,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,1,oneyear,0.048142962,0.06321,8.81E-04,0.001156851,0.952,0.236751385,6.52E-04,0.0234,5000,0.062491316,9.77E-04,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
