s_size,prop_e,prop_n,category,mae,mape,se_mae,se_mape,cover,mean_width,se_width,prop20,K,rmse,rmse_mcse,category_f,criteria,K_median,K_oneyear,K_timehorizon,K_rmstsample99,K_rmstpop99,criteria_f
30,0.1,0.379226667,median,145.1941094,0.52178251,2.560004013,0.009199859,0.9566,977.6051149,7.144092206,0.7288,5000,197.6187743,3.09117253,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.379226667,oneyear,0.148904841,0.369861633,0.002459315,0.006108641,0.9558,0.624058319,0.0011526,0.6996,5000,0.178350729,0.001843546,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.379226667,timehorizon,974.7326108,0.538526304,17.00829851,0.00939685,0.9588,6500.269026,47.64512582,0.7352,5000,1312.950717,20.53730575,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.379226667,rmstsample99,207.4759511,0.522568709,3.656372044,0.009209287,0.9348,1058.612597,7.694308922,0.7286,5000,282.4161517,4.416210511,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.379226667,rmstpop99,174.0879572,0.438474525,2.887050455,0.0072716,0.9572,827.6752209,2.72703374,0.7162,5000,219.8223622,2.638562729,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.53172,median,95.60438079,0.343572435,1.700528836,0.006111172,0.955,555.7006784,3.026460471,0.6264,5000,125.844315,1.877259543,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.53172,oneyear,0.111076542,0.27590071,0.001903681,0.004728513,0.958,0.497634115,6.46E-04,0.5856,5000,0.135686368,0.001529445,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.53172,timehorizon,642.1583503,0.354783619,11.29806903,0.006242027,0.9554,3691.297679,20.18209095,0.6348,5000,836.0915313,12.47224244,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.53172,rmstsample99,136.6150039,0.344091572,2.428811073,0.006117435,0.9378,675.9159872,3.685712463,0.6268,5000,179.8599806,2.682763617,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.53172,rmstpop99,121.8261271,0.306842897,2.096054786,0.005279323,0.9568,598.790377,1.809321103,0.606,5000,153.5252971,1.916653357,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.662633333,median,75.2310581,0.270357045,1.338966533,0.00481183,0.9584,418.3764472,1.889485633,0.5464,5000,97.19577814,1.386498736,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.662633333,oneyear,0.091841993,0.228124415,0.001594553,0.003960676,0.9572,0.427078895,4.17E-04,0.503,5000,0.113048356,0.001318653,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.662633333,timehorizon,505.1441954,0.279085191,8.895901089,0.004914862,0.9596,2777.023112,12.51528088,0.5502,5000,645.7547722,9.211698209,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.662633333,rmstsample99,107.496336,0.27075052,1.912403173,0.004816761,0.9418,527.9390967,2.376665589,0.5462,5000,138.9143544,1.981903975,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.3,0.662633333,rmstpop99,98.07980906,0.247033157,1.707935013,0.004301768,0.9576,488.938712,1.342816715,0.5214,5000,123.0949656,1.538965973,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,0.779526667,median,63.30991238,0.227516151,1.137866458,0.004089138,0.9544,344.9237454,1.366419187,0.4744,5000,81.48305411,1.13964533,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,0.779526667,oneyear,0.079745892,0.198079161,0.001406484,0.003493536,0.955,0.379627754,3.13E-04,0.4294,5000,0.099458966,0.001199066,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,0.779526667,timehorizon,424.1198986,0.234320386,7.55982111,0.004176697,0.9538,2295.16546,9.086432912,0.4846,5000,541.3616934,7.57163968,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,0.779526667,rmstsample99,90.44904288,0.227813582,1.625178353,0.004093329,0.9364,444.2705351,1.750598154,0.4754,5000,116.4448858,1.629338118,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
