s_size,prop_e,prop_n,category,mae,mape,se_mae,se_mape,cover,mean_width,se_width,prop20,K,rmse,rmse_mcse,category_f,criteria,K_median,K_oneyear,K_timehorizon,K_rmstsample99,K_rmstpop99,criteria_f
30,0.1,0.9474466666666667,median,471.263677514066,0.5068460603339046,8.418598268163768,0.009054237721567838,0.9644,3209.477250124081,23.616187970456437,0.7262,5000,643.4992160754298,10.284077184463234,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.9474466666666667,oneyear,0.08810136995994158,0.11567397089771594,0.0016640204015370627,0.0021847997095632383,0.9634,0.4445863659884388,0.001743039284247918,0.1176,5000,0.11765271708436914,0.0021780284886747823,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.9474466666666667,timehorizon,3138.935342711684,0.5110607852021628,55.93195621316663,0.009106472844865944,0.9634,21339.14866220022,156.37570720790168,0.7266,5000,4275.316249837927,68.3259298581069,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.9474466666666667,rmstsample99,673.1696913174287,0.5070425049045837,12.024015272989123,0.009056686451666946,0.9378,3477.097798758425,25.301338197512784,0.7258,5000,919.2259038841534,14.689563596318433,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.9474466666666667,rmstpop99,571.2118704094028,0.43024619399723324,9.593524168400984,0.007226000498758282,0.9628,2776.4449419573557,9.280243634118236,0.7144,5000,723.706979890167,8.896160426729455,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.9474466666666667,median,471.263677514066,0.5068460603339046,8.418598268163768,0.009054237721567838,0.9644,3209.477250124081,23.616187970456437,0.7262,5000,643.4992160754298,10.284077184463234,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.9474466666666667,oneyear,0.08810136995994158,0.11567397089771594,0.0016640204015370627,0.0021847997095632383,0.9634,0.4445863659884388,0.001743039284247918,0.1176,5000,0.11765271708436914,0.0021780284886747823,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.9474466666666667,timehorizon,3138.935342711684,0.5110607852021628,55.93195621316663,0.009106472844865944,0.9634,21339.14866220022,156.37570720790168,0.7266,5000,4275.316249837927,68.3259298581069,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.9474466666666667,rmstsample99,673.1696913174287,0.5070425049045837,12.024015272989123,0.009056686451666946,0.9378,3477.097798758425,25.301338197512784,0.7258,5000,919.2259038841534,14.689563596318433,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.1,0.9474466666666667,rmstpop99,571.2118704094028,0.43024619399723324,9.593524168400984,0.007226000498758282,0.9628,2776.4449419573557,9.280243634118236,0.7144,5000,723.706979890167,8.896160426729455,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.99828,median,308.168388817467,0.3314363937732461,5.509481032299106,0.0059254699416587805,0.9604,1830.8439002618818,9.825305190124332,0.6048,5000,404.71660522679633,5.924983882897131,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.99828,oneyear,0.06454084034353641,0.0847398319799897,0.001207761361114305,0.001585747788036037,0.9614,0.3290487738176385,0.0011154734016375904,0.0632,5000,0.08544502079654553,0.0015131830136463562,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.99828,timehorizon,2052.534414186354,0.334180139072998,36.604199658886856,0.005959654780020654,0.9598,12188.052566663047,65.59094874669537,0.6056,5000,2688.8789227406646,39.364740844701466,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.99828,rmstsample99,440.1973083402138,0.33156386681085664,7.86901595353803,0.005927072492535364,0.9432,2228.4708160450623,11.904932168395089,0.6048,5000,578.1413217092971,8.463900659071147,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.99828,rmstpop99,396.63883343445497,0.2987549056961399,6.883538442055544,0.0051847945908501045,0.9612,2005.9905402624413,6.088236823874484,0.5852,5000,500.94625109245493,6.239502196296114,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.99828,median,308.168388817467,0.3314363937732461,5.509481032299106,0.0059254699416587805,0.9604,1830.8439002618818,9.825305190124332,0.6048,5000,404.71660522679633,5.924983882897131,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.99828,oneyear,0.06454084034353641,0.0847398319799897,0.001207761361114305,0.001585747788036037,0.9614,0.3290487738176385,0.0011154734016375904,0.0632,5000,0.08544502079654553,0.0015131830136463562,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.99828,timehorizon,2052.534414186354,0.334180139072998,36.604199658886856,0.005959654780020654,0.9598,12188.052566663047,65.59094874669537,0.6056,5000,2688.8789227406646,39.364740844701466,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.99828,rmstsample99,440.1973083402138,0.33156386681085664,7.86901595353803,0.005927072492535364,0.9432,2228.4708160450623,11.904932168395089,0.6048,5000,578.1413217092971,8.463900659071147,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.2,0.99828,rmstpop99,396.63883343445497,0.2987549056961399,6.883538442055544,0.0051847945908501045,0.9612,2005.9905402624413,6.088236823874484,0.5852,5000,500.94625109245493,6.239502196296114,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.30000000000000004,0.9999933333333333,median,251.11323558403546,0.2700733373402604,4.522204768323428,0.004863650181865575,0.9506,1387.4066123236698,6.366995687703218,0.5364,5000,326.38882140981815,4.626228286163903,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.30000000000000004,0.9999933333333333,oneyear,0.0544960699481054,0.07155140506990156,0.0010079697278204082,0.0013234284667161362,0.9526,0.2722414887674085,8.266818951050775e-4,0.0372,5000,0.07141953894496943,0.0011504102342160944,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.30000000000000004,0.9999933333333333,timehorizon,1671.8772347881031,0.27220404343668236,30.044878141454376,0.0048917092382700054,0.951,9215.812745027179,42.12999307681093,0.5376,5000,2168.4803913968976,30.73599543434248,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.30000000000000004,0.9999933333333333,rmstsample99,358.6897364675261,0.2701710204838967,6.458920769213187,0.0048649655622386235,0.9322,1751.8455501740034,8.032205787203491,0.536,5000,466.2429969223584,6.609065752192119,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.30000000000000004,0.9999933333333333,rmstpop99,329.1351656797329,0.24791003072618015,5.797146945752808,0.004366506612800555,0.9522,1635.848603144239,4.621701469337953,0.5166,5000,415.77027697314134,5.244543287003496,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.30000000000000004,0.9999933333333333,median,251.11323558403546,0.2700733373402604,4.522204768323428,0.004863650181865575,0.9506,1387.4066123236698,6.366995687703218,0.5364,5000,326.38882140981815,4.626228286163903,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.30000000000000004,0.9999933333333333,oneyear,0.0544960699481054,0.07155140506990156,0.0010079697278204082,0.0013234284667161362,0.9526,0.2722414887674085,8.266818951050775e-4,0.0372,5000,0.07141953894496943,0.0011504102342160944,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.30000000000000004,0.9999933333333333,timehorizon,1671.8772347881031,0.27220404343668236,30.044878141454376,0.0048917092382700054,0.951,9215.812745027179,42.12999307681093,0.5376,5000,2168.4803913968976,30.73599543434248,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.30000000000000004,0.9999933333333333,rmstsample99,358.6897364675261,0.2701710204838967,6.458920769213187,0.0048649655622386235,0.9322,1751.8455501740034,8.032205787203491,0.536,5000,466.2429969223584,6.609065752192119,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.30000000000000004,0.9999933333333333,rmstpop99,329.1351656797329,0.24791003072618015,5.797146945752808,0.004366506612800555,0.9522,1635.848603144239,4.621701469337953,0.5166,5000,415.77027697314134,5.244543287003496,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,1,median,217.17205688950608,0.2335694573995072,3.865832505610571,0.00415771906232044,0.951,1154.2961266097855,4.646655945624705,0.483,5000,276.82292872974534,3.7137874901386705,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,1,oneyear,0.04814296240933381,0.06321000042563701,8.810983795077477e-4,0.0011568508906904115,0.952,0.23675138464401901,6.516244263510746e-4,0.0234,5000,0.06249131561864783,9.773659896360973e-4,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,1,timehorizon,1445.7103100932002,0.23538103388036472,25.684035221033128,0.00418170550651793,0.9498,7677.508893486707,30.848435222136157,0.489,5000,1839.171728512686,24.67387000386783,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,1,rmstsample99,310.20564100221026,0.2336520007926573,5.52144521090421,0.0041588435227250175,0.9314,1487.3412968858718,5.944046158266395,0.4828,5000,395.4343880752397,5.305714891620256,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,1,rmstpop99,287.90616397312084,0.21685566721328337,5.048216120154473,0.003802399573060743,0.9504,1416.0939593052567,3.712630133146861,0.4618,5000,359.8811666536434,4.422816358464451,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,1,median,217.17205688950608,0.2335694573995072,3.865832505610571,0.00415771906232044,0.951,1154.2961266097855,4.646655945624705,0.483,5000,276.82292872974534,3.7137874901386705,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,1,oneyear,0.04814296240933381,0.06321000042563701,8.810983795077477e-4,0.0011568508906904115,0.952,0.23675138464401901,6.516244263510746e-4,0.0234,5000,0.06249131561864783,9.773659896360973e-4,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,1,timehorizon,1445.7103100932002,0.23538103388036472,25.684035221033128,0.00418170550651793,0.9498,7677.508893486707,30.848435222136157,0.489,5000,1839.171728512686,24.67387000386783,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,1,rmstsample99,310.20564100221026,0.2336520007926573,5.52144521090421,0.0041588435227250175,0.9314,1487.3412968858718,5.944046158266395,0.4828,5000,395.4343880752397,5.305714891620256,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.4,1,rmstpop99,287.90616397312084,0.21685566721328337,5.048216120154473,0.003802399573060743,0.9504,1416.0939593052567,3.712630133146861,0.4618,5000,359.8811666536434,4.422816358464451,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.5,1,median,191.80867153892314,0.206291030151547,3.4138615507667494,0.0036716224060783374,0.9484,1011.9467849752614,3.632217278967748,0.4288,5000,243.64564643111802,3.1926228055713293,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.5,1,oneyear,0.042729948979142694,0.0561029059698122,7.7972197603315e-4,0.0010237472720909771,0.9486,0.21166750189222214,5.327377399751077e-4,0.0138,5000,0.055292981612545096,8.185071258366494e-4,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.5,1,timehorizon,1276.3221853205278,0.20780237468585605,22.681205195095608,0.003692804492851776,0.9478,6717.681874537643,24.090205089889466,0.4318,5000,1618.7466361530476,21.21132678840573,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.5,1,rmstsample99,273.9715173989332,0.2063598617795766,4.875909518276969,0.0036726154010244395,0.9312,1317.226198563462,4.729491051699872,0.4298,5000,348.0404189985349,4.561233807991121,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.5,1,rmstpop99,255.7256086684096,0.19261674264288534,4.4993080247443284,0.0033889529499448426,0.9502,1267.5202782900074,3.0899071303443604,0.4064,5000,320.0098193400045,3.916587194086413,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.5,1,median,191.80867153892314,0.206291030151547,3.4138615507667494,0.0036716224060783374,0.9484,1011.9467849752614,3.632217278967748,0.4288,5000,243.64564643111802,3.1926228055713293,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.5,1,oneyear,0.042729948979142694,0.0561029059698122,7.7972197603315e-4,0.0010237472720909771,0.9486,0.21166750189222214,5.327377399751077e-4,0.0138,5000,0.055292981612545096,8.185071258366494e-4,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.5,1,timehorizon,1276.3221853205278,0.20780237468585605,22.681205195095608,0.003692804492851776,0.9478,6717.681874537643,24.090205089889466,0.4318,5000,1618.7466361530476,21.21132678840573,timehorizon,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.5,1,rmstsample99,273.9715173989332,0.2063598617795766,4.875909518276969,0.0036726154010244395,0.9312,1317.226198563462,4.729491051699872,0.4298,5000,348.0404189985349,4.561233807991121,rmstsample99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.5,1,rmstpop99,255.7256086684096,0.19261674264288534,4.4993080247443284,0.0033889529499448426,0.9502,1267.5202782900074,3.0899071303443604,0.4064,5000,320.0098193400045,3.916587194086413,rmstpop99,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.6,1,median,174.59244691303041,0.18777490840949565,3.101570541202929,0.003335752116413597,0.9502,905.8256398626254,2.987758221166268,0.3842,5000,220.30929849251388,2.8211965171653244,median,Exponential,NA,NA,NA,NA,NA,Exponential
30,0.6,1,oneyear,0.03933645686351418,0.051647371301017334,7.119372002856317e-4,9.347482680948782e-4,0.95,0.19383144893431906,4.4898303027828587e-4,0.0092,5000,0.05058896466351354,7.248943412922576e-4,oneyear,Exponential,NA,NA,NA,NA,NA,Exponential
